precinct,date,citation_issued
N,2013-04-29,3
N,2013-04-30,5
N,2013-05-01,5
N,2013-05-02,3
N,2013-05-03,10
N,2013-05-04,10
N,2013-05-05,9
N,2013-05-06,7
N,2013-05-07,7
N,2013-05-08,9
N,2013-05-09,2
N,2013-05-10,3
N,2013-05-11,4
N,2013-05-12,3
N,2013-05-13,9
N,2013-05-14,6
N,2013-05-15,4
N,2013-05-16,4
N,2013-05-17,8
N,2013-05-18,5
N,2013-05-19,6
N,2013-05-20,5
N,2013-05-21,5
N,2013-05-22,5
N,2013-05-23,5
N,2013-05-24,12
N,2013-05-25,15
N,2013-05-26,10
N,2013-05-27,4
N,2013-05-28,4
N,2013-05-29,4
N,2013-05-30,8
N,2013-05-31,11
N,2013-06-01,17
N,2013-06-02,8
N,2013-06-03,11
N,2013-06-04,8
N,2013-06-05,5
N,2013-06-06,6
N,2013-06-07,6
N,2013-06-08,9
N,2013-06-09,7
N,2013-06-10,10
N,2013-06-11,13
N,2013-06-12,6
N,2013-06-13,8
N,2013-06-14,9
N,2013-06-15,7
N,2013-06-16,14
N,2013-06-18,5
N,2013-06-19,5
N,2013-06-20,1
N,2013-06-21,17
N,2013-06-22,7
